Tempo (s),Velocidade (m/s)
0,0.0
1,4.44
2,8.89
3,13.33
4,17.78
5,22.22
6,28.05
7,33.89
8,39.72
9,45.56
10,51.39
11,57.78
12,64.17
13,70.55
14,76.94
15,83.33
16,90.55
17,97.77
18,105.0
19,112.22
20,119.44
21,127.77
22,136.11
23,144.44
24,152.78
25,161.11
26,168.89
27,176.67
28,184.44
29,192.22
30,200.0
31,208.33
32,216.67
33,225.0
34,233.34
35,241.67
36,249.45
37,257.23
38,265.0
39,272.78
40,280.56
41,288.34
42,296.11
43,303.89
44,311.66
45,319.44
46,327.78
47,336.11
48,344.44
49,352.78
50,365.28
51,367.59
52,369.91
53,372.22
54,374.72
55,377.22
56,375.11
57,373.0
58,370.89
59,368.78
60,366.67
61,362.78
62,358.89
63,355.0
64,351.11
65,347.22
66,343.34
67,339.45
68,335.56
69,331.67
70,327.78
71,322.78
72,317.78
73,312.78
74,307.78
75,302.78
76,297.78
77,292.78
78,287.78
79,282.78
80,277.78
81,273.61
82,269.45
83,265.28
84,261.11
85,256.94
86,252.78
87,248.61
88,244.44
89,240.28
90,236.11
91,232.68
92,229.26
93,225.83
94,222.41
95,218.98
96,215.55
97,212.13
98,208.7
99,205.28
100,201.85
101,198.42
102,195.0
103,191.57
104,188.15
105,184.72
106,181.29
107,177.87
108,174.44
109,171.02
110,167.59
111,164.16
112,160.74
113,157.31
114,153.89
115,150.46
116,147.03
117,143.61
118,140.18
119,136.76
120,133.33
121,131.85
122,130.37
123,128.89
124,127.4
125,125.92
126,124.44
127,122.96
128,121.48
129,120.0
130,118.52
131,117.04
132,115.55
133,114.07
134,112.59
135,111.11
136,109.63
137,108.15
138,106.67
139,105.18
140,103.7
141,102.22
142,100.74
143,99.26
144,97.78
145,96.3
146,94.82
147,93.33
148,91.85
149,90.37
150,88.89
151,88.33
152,87.78
153,87.22
154,86.67
155,86.11
156,85.56
157,85.0
158,84.44
159,83.89
160,83.33
161,82.78
162,82.22
163,81.67
164,81.11
165,80.56
166,80.0
167,79.44
168,78.89
169,78.33
170,77.78
171,77.22
172,76.67
173,76.11
174,75.55
175,75.0
176,74.44
177,73.89
178,73.33
179,72.78
180,72.22
181,71.85
182,71.48
183,71.11
184,70.74
185,70.37
186,70.0
187,69.63
188,69.26
189,68.89
190,68.52
191,68.15
192,67.78
193,67.41
194,67.04
195,66.66
196,66.29
197,65.92
198,65.55
199,65.18
200,64.81
201,64.44
202,64.07
203,63.7
204,63.33
205,62.96
206,62.59
207,62.22
208,61.85
209,61.48
210,61.11
211,60.96
212,60.81
213,60.66
214,60.51
215,60.36
216,60.21
217,60.06
218,59.91
219,59.76
220,59.61
221,59.46
222,59.31
223,59.16
224,59.01
225,58.86
226,58.71
227,58.56
228,58.41
229,58.26
230,58.11
231,57.96
232,57.81
233,57.66
234,57.51
235,57.36
236,57.21
237,57.06
238,56.91
239,56.76
240,56.61
241,56.46
242,56.31
243,56.16
244,56.01
245,55.86
246,55.71
247,55.56
248,55.33
249,55.1
250,54.86
251,54.63
252,54.4
253,54.17
254,53.94
255,53.71
256,53.48
257,53.24
258,53.01
259,52.78
260,27.78
261,25.0
262,22.22
263,19.45
264,16.67
265,13.89
266,12.5
267,11.11
268,9.72
269,8.33
270,6.94
271,6.66
272,6.39
273,6.11
274,5.84
275,5.56
276,5.56
277,5.56
278,5.56
279,5.56
280,5.56
281,5.56
282,5.56
283,5.56
284,5.56
285,5.56
286,5.56
287,5.56
288,5.56
289,5.56
290,5.56
291,5.56
292,5.56
293,5.56
294,5.56
295,5.56
296,5.56
297,5.56
298,5.56
299,5.56
300,5.56
301,5.56
302,5.56
303,5.56
304,5.56
305,5.56
306,5.56
307,5.56
308,5.56
309,5.56
310,5.56
311,5.56
312,5.56
313,5.56
314,5.56
315,5.56
316,5.56
317,5.56
318,5.56
319,5.56
320,5.56
321,5.56
322,5.56
323,5.56
324,5.56
325,5.56
326,5.56
327,5.56
328,5.56
329,5.56
330,5.56
331,5.56
332,5.56
333,5.56
334,5.56
335,5.56
336,5.56
337,5.56
338,5.56
339,5.56
340,5.56
341,5.56
342,5.56
343,5.56
344,5.56
345,5.56
346,5.56
347,5.56
348,5.56
349,5.56
350,5.56
351,5.56
352,5.56
353,5.56
354,5.56
355,5.56
356,5.56
357,5.56
358,5.56
359,5.56
360,5.56
361,5.56
362,5.56
363,5.56
364,5.56
365,5.56
366,5.56
367,5.56
368,5.56
369,5.56
370,5.56
371,5.56
372,5.56
373,5.56
374,5.56
375,5.56
376,5.56
377,5.56
378,5.56
379,5.56
380,5.56
381,5.56
382,5.56
383,5.56
384,5.56
385,5.56
386,5.56
387,5.56
388,5.56
389,5.56
390,5.56
391,5.56
392,5.56
393,5.56
394,5.56
395,5.56
396,5.56
397,5.56
398,5.56
399,5.56
400,5.56
401,5.56
402,5.56
403,5.56
404,5.56
405,5.56
406,5.56
407,5.56
408,5.56
409,5.56
410,5.56
411,5.56
412,5.56
413,5.56
414,5.56
415,5.56
416,5.56
417,5.56
418,5.56
419,5.56
420,5.56
421,5.56
422,5.56
423,5.56
424,5.56
425,5.56
426,5.56
427,5.56
428,5.56
429,5.56
430,5.56
431,5.56
432,5.56
433,5.56
434,5.56
435,5.56
436,5.56
437,5.56
438,5.56
439,5.56
440,5.56
441,5.56
442,5.56
443,5.56
444,5.56
445,5.56
446,5.56
447,5.56
448,5.56
449,5.56
450,5.56
451,5.56
452,5.56
453,5.56
454,5.56
455,5.56
456,5.56
457,5.56
458,5.56
459,5.56
460,5.56
461,5.56
462,5.56
463,5.56
464,5.56
465,5.56
466,5.56
467,5.56
468,5.56
469,5.56
470,5.56
471,5.56
472,5.56
473,5.56
474,5.56
475,5.56
476,5.56
477,5.56
478,5.56
479,5.56
480,5.56
481,5.56
482,5.56
483,5.56
484,5.56
485,5.56
486,5.56
487,5.56
488,5.56
489,5.56
490,5.56
491,5.56
492,5.56
493,5.56
494,5.56
495,5.56
496,5.56
497,5.56
498,5.56
499,5.56
500,5.56
501,5.56
502,5.56
503,5.56
504,5.56
505,5.56
506,5.56
507,5.56
508,5.56
509,5.56
510,5.56
511,5.56
512,5.56
513,5.56
514,5.56
515,5.56
516,5.56
517,5.56
518,5.56
519,5.56
520,5.56
521,5.56
522,5.56
523,5.56
524,5.56
525,5.56
526,5.56
527,5.56
528,5.56
529,5.56
530,5.56
531,5.56
532,5.56
533,5.56
534,5.56
535,5.56
536,5.56
537,5.56
538,5.56
539,5.56
540,5.56
541,5.56
542,5.56
543,5.56
